time, x_pid, y_pid, theta_pid, x_state, y_state, theta_state, x_gyro, y_gyro, theta_gyro, x_kalman, y_kalman, theta_kalman, reflection, error, command
106879, 674.8705168707962, 1227.978326062263, -100.9999999999999, 672.3241334463395, 1228.838207113985, -99.99999999999982, -79.68585365449798, -550.2437823386948, -502.0, 2515.52407371669, -7551.943356695043, -208.6027971724001, 13, -27, -35.84047619047619
106998, 670.8213978926067, 1210.439664896129, -102.9999999999999, 668.2750144681499, 1211.299545947851, -102.9999999999998, -93.94149750884216, -560.9861805019587, -502.9999999999999, 2500.105181758374, -7542.655850529352, -211.0624847486569, 11, -29, -40.72380952380953
107119, 665.2590919938576, 1193.320647602816, -107.9999999999999, 662.403691575026, 1193.229472138243, -107.9999999999998, -107.4810485869178, -573.6120161417959, -497.0, 2484.186854200519, -7532.282478475826, -213.0907664180688, 88, 48, 57.41666666666666
107242, 660.0219822333347, 1175.056675379988, -105.9999999999999, 657.4422191703201, 1175.926761611354, -105.9999999999998, -120.4401945657237, -586.5711621206017, -495.0000000000001, 2468.772548510074, -7522.987362549626, -211.0907664180688, 94, 54, 69.17142857142856
107369, 657.706464708637, 1156.198298498803, -96.99999999999989, 655.1267016456223, 1157.068384730168, -96.99999999999982, -135.146127594374, -598.4797918804378, -501.0, 2451.71631863079, -7514.615682771647, -206.1431095961434, 25, -15, -16.02142857142857
107489, 656.2248170819268, 1139.262988631243, -94.99999999999989, 653.5578982761646, 1139.136880164517, -94.9999999999998, -151.1087098566472, -606.2652634474119, -514.0, 2435.852181479714, -7506.111028019579, -208.195452774218, 13, -27, -32.44285714285715
107610, 653.2525622461625, 1120.496910159936, -98.9999999999999, 650.7420779054406, 1121.358490033804, -98.99999999999983, -167.2462272307664, -615.5822634474118, -510.0000000000001, 2420.269099595927, -7497.101723995229, -210.0342030792449, 11, -29, -37.62380952380952
107733, 649.203443267973, 1102.958248993801, -102.9999999999999, 646.3874837846466, 1103.893166960836, -103.9999999999998, -182.4603381493459, -626.2352985997599, -505.0000000000001, 2405.059868561487, -7487.474715563684, -212.3326409605285, 15, -25, -35.25238095238095
107854, 643.3321203748489, 1084.888175184193, -107.9999999999999, 640.5161608915225, 1085.823093151228, -107.9999999999998, -196.3774680271173, -637.5051681626803, -501.0, 2389.340007115665, -7476.802979241786, -214.1713912655553, 80, 40, 47.47380952380953
107988, 638.4145585179011, 1066.535584484701, -104.9999999999999, 635.5985990345747, 1067.470502451736, -104.9999999999998, -211.5696614230529, -650.2529320379838, -500.0000000000001, 2373.176635776799, -7466.815716004945, -211.7117036892986, 87, 47, 59.88333333333333
